Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Big Mac Bacon,,38g,47g,30g,9g,3g,1210mg,95mg,610,12g,1g
Cheesy Bacon Fries,,34g,51g,15g,5g,4g,1330mg,35mg,560,11g,0.5g
"Donut Sticks, 6 Piece",,13g,34g,6g,9g,1g,260mg,15mg,280,4.5g,0g
"Donut Sticks, 12 Piece",,27g,68g,12g,18g,2g,520mg,30mg,560,9g,0.5g
Quarter Pounder with Cheese Bacon,,34g,44g,39g,11g,2g,1470mg,125mg,640,15g,1.5g
Bacon Clubhouse Burger,274g,41g,51g,40g,14g,4g,1420mg,120mg,740,16g,1.5g
Bacon Double Cheeseburger,,26g,36g,30g,8g,3g,1280mg,100mg,500,12g,1g
Bacon Double Cheeseburger (New York),,26g,36g,30g,8g,2g,1270mg,100mg,500,12g,1g
Bacon McDouble,162g,23g,34g,28g,7g,2g,1090mg,85mg,450,10g,1g
Bacon McDouble (New York),,22g,34g,28g,7g,2g,1080mg,85mg,450,10g,1g
Artisan Grilled Chicken Sandwich,204g,6g,45g,36g,11g,2g,1120mg,95mg,380,2g,0g
Bacon Buffalo Ranch McChicken,162g,21g,40g,20g,6g,2g,1040mg,55mg,430,4.5g,0g
Bacon Cheddar Hot 'n Spicy McChicken,,32g,41g,24g,6g,3g,960mg,80mg,550,9g,0.5g
Bacon Cheddar McChicken,172g,32g,41g,24g,6g,2g,950mg,80mg,550,9g,0g
Bacon Smokehouse Artisan Grilled Chicken Sandwich,,31g,62g,55g,18g,2g,1940mg,155mg,750,10g,0.5g
Apple Cinnamon Muffin,,2.5g,61g,7g,30g,3g,520mg,0mg,300,0.5g,0g
"Bacon, Egg & Cheese Bagel",191g,25g,54g,26g,7g,4g,1270mg,225mg,550,11g,0.5g
"Bacon, Egg & Cheese Bagel with Egg Whites",191g,22g,53g,25g,7g,3g,1240mg,65mg,510,10g,0.5g
"Bacon, Egg & Cheese Biscuit",147g,24g,40g,18g,3g,2g,1300mg,200mg,450,12g,0g
"Bacon, Egg & Cheese Biscuit with Egg Whites",148g,21g,39g,18g,3g,2g,1290mg,40mg,410,11g,0g
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,268g,28g,28g,33g,4g,4g,1120mg,95mg,490,8g,0g
Premium Bacon Ranch Salad with Grilled Chicken,266g,14g,9g,42g,4g,3g,1230mg,135mg,320,6g,0g
Premium Bacon Ranch Salad without Chicken,169g,12g,9g,14g,3g,3g,500mg,40mg,190,5g,0g
Premium Southwest Salad with Buttermilk Crispy Chicken,294g,25g,46g,28g,9g,8g,960mg,75mg,520,6g,0g
Premium Southwest Salad with Grilled Chicken,289g,11g,27g,37g,9g,6g,1070mg,110mg,350,4.5g,0g
Cheese Curds,,30g,18g,24g,1g,2g,970mg,80mg,440,15g,1g
"French Fries, Large",168g,22g,61g,6g,0g,5g,330mg,0mg,470,3g,0g
"French Fries, Medium",111g,18g,49g,5g,0g,4g,260mg,0mg,380,2.5g,0g
"French Fries, Small",75g,11g,29g,3g,0g,3g,160mg,0mg,230,1.5g,0g
"Fruit 'N Yogurt Parfait, Large",,4.5g,58g,8g,45g,1g,110mg,15mg,300,2.5g,0g
Baked Cherry and Creme Pie,,15g,35g,3g,14g,1g,160mg,10mg,290,9g,0g
Birthday Cake Dipped Cone,,12g,35g,5g,27g,0g,90mg,15mg,270,9g,0g
Caramel Butter Pecan Ice Cream,,20g,34g,5g,23g,1g,125mg,40mg,330,10g,0g
Caramel Sundae Waffle Cone,,8g,78g,8g,50g,1g,190mg,30mg,420,5g,0g
Happy Meal Cheeseburger,,12g,33g,15g,7g,2g,680mg,40mg,300,6g,0.5g
"Happy Meal Chicken McNuggets, 4 piece",,11g,11g,10g,0g,1g,340mg,30mg,180,2g,0g
"Happy Meal Chicken McNuggets, 6 piece",,16g,16g,15g,0g,1g,510mg,45mg,270,2.5g,0g
Mighty Kids Meal Chicken McNuggets (6 piece),,16g,16g,15g,0g,1g,510mg,45mg,270,2.5g,0g
Mighty Kids Meal Go-Gurt Strawberry Flavored Low Fat Yogurt Tube,,0.5g,8g,3g,6g,0g,30mg,5mg,50,0g,0g
